variant,model,seed,same_target_as_baseline,churn_vs_baseline,d_common_acc,d_common_auc,d_common_ece,d_common_pred_pos_rate,d_common_sex_tpr_gap
multi_site_drop_any,logreg,7,True,0.022222222222222223,-0.022222222222222254,0.008928571428571397,-0.035978452396359106,0.0222222222222222,0.0
multi_site_drop_any,logreg,8,True,0.022222222222222223,0.0,-0.001984126984126977,0.01385984413003613,-0.022222222222222254,-0.03125
multi_site_drop_any,logreg,9,True,0.03333333333333333,0.011111111111111072,-0.0024801587301588324,0.00920951998024784,-0.03333333333333338,-0.03125
multi_site_drop_any,rf,0,True,0.044444444444444446,-0.022222222222222254,0.0004960317460318553,0.030679834404086906,-0.0222222222222222,-0.0625
multi_site_drop_any,rf,1,True,0.022222222222222223,-0.022222222222222143,-0.01636904761904756,-0.005397756904625531,-0.0222222222222222,0.19999999999999996
multi_site_drop_any,rf,2,True,0.05555555555555555,-0.011111111111111183,-0.011408730158730118,-0.00566717955510361,-0.033333333333333326,0.19999999999999996
multi_site_drop_any,rf,3,True,0.05555555555555555,-0.05555555555555558,-0.001984126984126977,0.001996768862809792,0.011111111111111072,0.06874999999999998
multi_site_drop_any,rf,4,True,0.022222222222222223,-0.022222222222222254,-0.004960317460317665,0.025115357915324085,0.0222222222222222,0.0
multi_site_drop_any,rf,5,True,0.011111111111111112,-0.011111111111111072,-0.022817460317460347,0.012175726107251567,0.011111111111111127,0.0
multi_site_drop_any,rf,6,True,0.044444444444444446,0.0,-0.004960317460317443,-0.032913190214382465,0.022222222222222254,-0.09999999999999998
multi_site_drop_any,rf,7,True,0.05555555555555555,-0.011111111111111183,0.00694444444444442,0.042387894299206655,0.033333333333333326,-0.09999999999999998
multi_site_drop_any,rf,8,True,0.044444444444444446,0.0,-0.0064484126984126755,-0.003061704758689471,0.04444444444444445,-0.19999999999999996
multi_site_drop_any,rf,9,True,0.03333333333333333,-0.033333333333333326,-0.0014880952380952328,0.005367762097790871,-0.011111111111111072,0.06874999999999998
multi_site_drop_any,hgb,0,True,0.14444444444444443,-0.07777777777777772,-0.007440476190476275,0.016188610980743645,-0.033333333333333326,-0.025000000000000022
multi_site_drop_any,hgb,1,True,0.12222222222222222,-0.033333333333333326,-0.015873015873015817,0.02262176732401988,0.07777777777777778,0.0625
multi_site_drop_any,hgb,2,True,0.044444444444444446,0.022222222222222254,0.005952380952380931,-0.017032332741336975,-0.0222222222222222,0.13124999999999998
multi_site_drop_any,hgb,3,True,0.1111111111111111,0.0,0.01041666666666663,0.02464442794413864,-0.022222222222222254,0.23124999999999996
