case,variant,model,seed,n_train,pos_rate_train,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
compas,C2_isrecid,hgb,0,3737,0.48300776023548303,0.6686666666666666,0.7121267637950877,0.06422839996390522,0.43733333333333335,0.25643220511818826,0.28332793172365367,0.252447454647167,0.18800788114383093
compas,C2_isrecid,hgb,1,3737,0.48300776023548303,0.6693333333333333,0.7108523312421848,0.05609910189164767,0.45,0.2333173431840313,0.29966780100469936,0.22982098617437868,0.16157409872730177
compas,C2_isrecid,hgb,2,3737,0.48300776023548303,0.668,0.7088521925042377,0.06207851877936459,0.454,0.1994852512416303,0.2237481769567331,0.23950091904419402,0.1987539272591725
compas,C2_isrecid,hgb,3,3737,0.48300776023548303,0.6693333333333333,0.7158486760308852,0.06105658165285849,0.44866666666666666,0.2618295986281026,0.27823691460055094,0.23176896028130745,0.16181905319772083
compas,C2_isrecid,hgb,4,3737,0.48300776023548303,0.6726666666666666,0.7138263036475629,0.055367453497975255,0.44533333333333336,0.24478141848901705,0.28813536433857284,0.2543554703108767,0.20124607274082756
compas,C3_uniform,logreg,0,3737,0.455980733208456,0.686,0.7325930850825522,0.03676229649434285,0.36133333333333334,0.3132556422725928,0.3918707899571341,0.23972069048189884,0.22516007812306854
compas,C3_uniform,logreg,1,3737,0.4546427615734546,0.69,0.7312615701124172,0.04242080508883601,0.36533333333333334,0.32251077898836933,0.4024341702388242,0.22680412371134023,0.20178496378155208
compas,C3_uniform,logreg,2,3737,0.45143162964945144,0.686,0.7321199761295029,0.03130312311144052,0.3506666666666667,0.2914477596077339,0.3568738518064911,0.21006153600255734,0.18056070607431585
compas,C3_uniform,logreg,3,3737,0.4557131388814557,0.6873333333333334,0.7313171245728131,0.03558511273720666,0.368,0.32149966535585744,0.4024341702388242,0.23067010309278352,0.20933768449158197
compas,C3_uniform,logreg,4,3737,0.4541075729194541,0.6826666666666666,0.7308852334452188,0.030534067612731624,0.35133333333333333,0.3095070533793313,0.38472137170851195,0.20683489171261887,0.1757645430047714
compas,C3_uniform,rf,0,3737,0.455980733208456,0.6706666666666666,0.7159715489479598,0.037761557090945856,0.39666666666666667,0.18460004998118526,0.21961114513165952,0.22738352113801646,0.17121560483571907
compas,C3_uniform,rf,1,3737,0.4546427615734546,0.6813333333333333,0.7208657177009055,0.033614466730295174,0.382,0.23971148791690483,0.25615431720759335,0.24227803084791816,0.20418304531632425
compas,C3_uniform,rf,2,3737,0.45143162964945144,0.6733333333333333,0.7169347916080507,0.037610969540670516,0.394,0.21577222367442142,0.21961114513165952,0.2261148405658116,0.18116640708052112
compas,C3_uniform,rf,3,3737,0.4557131388814557,0.6686666666666666,0.7153738904788616,0.038773092046077776,0.4053333333333333,0.20824344858688254,0.2284139620330679,0.24349676336609932,0.19315681475438207
compas,C3_uniform,rf,4,3737,0.4541075729194541,0.67,0.7152735340342754,0.03252477859751302,0.38666666666666666,0.21962996688028358,0.2264390691977955,0.2274234795812355,0.19494919528294885
compas,C3_uniform,hgb,0,3737,0.455980733208456,0.668,0.702600844786214,0.06572078501145591,0.39666666666666667,0.17167388138373202,0.18472137170851194,0.24480540238152315,0.2141338475611264
compas,C3_uniform,hgb,1,3737,0.4546427615734546,0.666,0.7075407115630337,0.05846747708559825,0.4266666666666667,0.29494644257477787,0.3053429271279853,0.2724866139215217,0.23224307152216367
compas,C3_uniform,hgb,2,3737,0.45143162964945144,0.666,0.7071581026180488,0.05501084769489051,0.38266666666666665,0.21899227589614254,0.2786129822412738,0.2274234795812355,0.17984375386288903
compas,C3_uniform,hgb,3,3737,0.4557131388814557,0.668,0.7090514344699298,0.06536685587231506,0.39266666666666666,0.19257980472867975,0.21080832823025103,0.1970650523455606,0.14376127963608493
compas,C3_uniform,hgb,4,3737,0.4541075729194541,0.6573333333333333,0.7061195926245183,0.0554648313853732,0.366,0.20699966391961647,0.23470606246172687,0.20102093822424677,0.17515884199856613
