variant,outcome,mean,sd,min,max,n,cohen_d,wilcoxon_p,model
V3_impute,d_sex_dp_diff,-0.0017690001763357554,0.0013876930629455077,-0.003717157467818727,3.526714865101366e-05,5,,,rf
V3_impute,d_sex_dp_diff,-0.0006517369070710488,0.0020850289042114024,-0.004119202962440477,0.000782930700052864,5,,,hgb
V3_impute,d_sex_tpr_gap,0.00876211756851577,0.007644231251348053,-0.0031064574803632006,0.02579858438187621,15,1.1462392071106666,0.0008544921875,
V3_impute,d_sex_tpr_gap,0.01049928129108726,0.0027155213814086805,0.007302900041555649,0.013420441307709474,5,,,logreg
V3_impute,d_sex_tpr_gap,0.0029116226471650685,0.005679089253002524,-0.0031064574803632006,0.011002036909619872,5,,,rf
V3_impute,d_sex_tpr_gap,0.012875448767294984,0.009858343478981206,-0.0006403662349871997,0.02579858438187621,5,,,hgb
V3_impute,d_race_tpr_gap,-0.01370857699805066,0.01489406809871281,-0.045540935672514715,0.018932748538011746,15,-0.9204051510436827,0.006395825971507905,
V3_impute,d_race_tpr_gap,-0.01222222222222218,0.010700815636454431,-0.02412280701754388,0.004678362573099504,5,,,logreg
V3_impute,d_race_tpr_gap,-0.013654970760233897,0.010132565161320248,-0.030994152046783574,-0.006578947368421018,5,,,rf
V3_impute,d_race_tpr_gap,-0.0152485380116959,0.02352680574851073,-0.045540935672514715,0.018932748538011746,5,,,hgb
V3_impute,churn_vs_base,0.010750000000000003,0.002817356917396161,0.00625,0.01425,15,3.8156329904892905,,
V3_impute,churn_vs_base,0.012750000000000001,0.0015811388300841897,0.01025,0.01425,5,,,logreg
V3_impute,churn_vs_base,0.0072,0.0008177713616898064,0.00625,0.0085,5,,,rf
V3_impute,churn_vs_base,0.0123,0.0009253377761660875,0.01075,0.013,5,,,hgb
V4_dedup,d_common_acc,-0.0005666666666666708,0.002060397557569444,-0.005750000000000033,0.0030000000000000027,15,-0.2750278287725896,0.14671540749659678,
V4_dedup,d_common_acc,0.0,0.0018791620472966134,-0.0020000000000000018,0.0030000000000000027,5,,,logreg
