variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,churn_vs_base
C3_uniform,logreg,1,0.0020000000000000018,0.0006433564929724245,0.007516422504628348,-0.0031108979091203914,-0.005281690140845119,-0.0077319587628865705,-0.012348883779574327,0.018
C3_uniform,logreg,2,-0.0006666666666665932,0.00013440595257085963,-0.003625448702856235,-0.014014839241549837,-0.015845070422535135,-0.018041237113402053,-0.024339291453435163,0.016666666666666666
C3_uniform,logreg,3,0.0020000000000000018,0.0006433564929723135,0.0010581779257410884,-0.008804157055820883,-0.013870177587262722,-9.989610804783666e-06,0.0020396054290587884,0.01
C3_uniform,logreg,4,-0.0020000000000000018,-0.0009390495886282269,0.00157874316576017,0.01742160278745647,0.034782608695652195,-0.01547390713657798,-0.024697767559148598,0.018
C3_uniform,rf,0,0.0013333333333332975,-0.001640648661047961,-0.0030797245623608513,-0.036756278527335956,-0.005281690140845008,-0.032905777990889507,-0.02985240673440631,0.06933333333333333
C3_uniform,rf,1,0.008000000000000007,0.004562634069937621,0.0045984065875899205,0.038887660104960475,0.03995713410900187,0.01813114361064494,0.013424312096714353,0.072
C3_uniform,rf,2,-0.0006666666666667043,0.0014963862719551413,-0.0027819060504071513,-0.017312448474855746,-0.01936619718309862,-0.012856629105730044,-0.001322653217632086,0.06866666666666667
C3_uniform,rf,3,-0.008666666666666711,-0.007100218454474838,-0.0019695772263384134,-0.013486302570009545,0.0017605633802816323,0.010289299128906026,0.011990407673860948,0.06333333333333334
C3_uniform,rf,4,-0.0040000000000000036,-0.004481990498395039,0.00413943906154322,0.023674995906713292,-0.0038426209430496017,-0.010898665387996553,-0.002645306435264172,0.058666666666666666
C3_uniform,hgb,0,0.0040000000000000036,-0.001902292248719073,0.0020063723297945035,-0.03994473344804106,-0.069993876301286,-0.013485974586430138,-0.00300378254097744,0.08266666666666667
C3_uniform,hgb,1,0.010000000000000009,0.004866391522747704,-0.00015011266313812166,0.08715397364785094,0.07196876913655847,0.06252497402701196,0.08261020049939422,0.09933333333333333
C3_uniform,hgb,2,0.010000000000000009,0.006602020390279129,0.0010757861933216456,0.034392225914957275,0.06791181873851809,0.021977143770478658,0.0,0.06866666666666667
C3_uniform,hgb,3,-0.006000000000000005,-0.0012186139699754683,0.011528977760907652,-0.02832554411988586,0.010349050826699346,-0.03935906657076643,-0.05251056886449601,0.074
C3_uniform,hgb,4,-0.014666666666666717,-0.0033404359412269047,-0.004557981934217803,0.01378216820679573,0.013334353949785716,-0.009580036761767774,-0.0008529259066972772,0.084
