variant,model,seed,d_common_acc,d_common_auc,d_common_ece,d_sex_dp_diff,d_sex_tpr_gap,d_race_dp_diff,d_race_tpr_gap,d_own_acc,d_own_auc,d_own_ece,d_common_posrate_pred,churn_vs_base,abs_d_common_acc
V1_workforce,hgb,0,-0.00275000000000003,-0.0002515134372855776,0.0011894099360381782,-0.002645036148827412,-0.0036991368680641123,-0.009881101885000576,-0.04773391812865502,-0.0034354783086869567,0.0019037026318837746,0.008791388849106008,0.0012500000000000011,0.02325,0.00275000000000003
V1_workforce,hgb,1,0.000500000000000056,0.0014539520954872653,0.0001325453076503752,0.004528301886792457,0.011049723756906049,-0.004431344617095573,-0.025511695906432763,-0.005575261700797696,0.0021695921791627937,-0.005285064951622891,-0.0015000000000000013,0.022,0.000500000000000056
V1_workforce,hgb,2,-0.0012500000000000844,-0.0016528504632808971,-0.004875419186220243,0.005240698289543294,-0.009816678134218049,0.0020337013364323253,-0.0010964912280702066,-0.007206092223432936,0.0009773050144877837,0.0051544111248806555,0.0027500000000000024,0.01775,0.0012500000000000844
V1_workforce,hgb,3,0.00275000000000003,0.001560690309711732,-0.004196029313297236,-0.005692117792276463,-0.027576622544978946,-0.009954515066884079,-0.07792397660818717,-0.0019311628705307449,-0.0023955077095799693,-0.005913469684003749,0.005250000000000005,0.02275,0.00275000000000003
V1_workforce,hgb,4,0.0024999999999999467,0.001046101524965648,0.003204527822048768,0.0015094339622641617,0.004932182490752224,-0.0018165857559683252,-0.06118421052631584,0.0004131278102088576,-0.0047941830063028545,-0.0028445443822645647,-0.0005000000000000004,0.023,0.0024999999999999467
V3_drop,logreg,0,0.0012499999999999734,-0.0001615316146190704,-0.0013380135129245855,0.0011214953271028172,-0.0018257250103889122,-0.008064516129032279,-0.018932748538011634,-0.003754675240456695,-0.0024092915940043813,0.003325404873171409,0.0007500000000000007,0.00775,0.0012499999999999734
V3_drop,logreg,1,0.00024999999999997247,0.0001685692990734955,0.002996309132410802,-0.006369247046376314,-0.01292313561458125,-0.006174517191180423,-0.028801169590643272,-0.004053798674918396,0.002128568173081935,0.003158772439900698,-0.0027500000000000024,0.00675,0.00024999999999997247
V3_drop,logreg,2,0.0020000000000000018,-0.00032607937971862455,-0.00033982085918399935,-0.0007617704108622836,-0.006117541266153936,-0.014312446502096204,-0.06337719298245614,0.0014584160616302189,0.000625095619687599,-0.0015378433007135865,0.0010000000000000009,0.0075,0.0020000000000000018
V3_drop,logreg,3,0.0002500000000000835,0.0003304360415237184,0.0024076795825749217,-0.001897372597425534,-0.008583632511529937,-0.0012355282312734028,-0.018932748538011634,-0.011344526707145253,-0.008418617023299935,-0.0032352221074395757,0.0017500000000000016,0.00775,0.0002500000000000835
V3_drop,logreg,4,-0.0007499999999999174,-0.00022453564687718863,-0.001609287335239358,-0.0030118144947980374,-0.007990953123829247,-0.008645573653727201,-0.024415204678362556,0.0078022399233638184,0.005863371976878362,0.0009303293670776657,0.0002500000000000002,0.00625,0.0007499999999999174
V3_drop,rf,0,0.0010000000000000009,-0.0006570181129890162,-0.0022563244640125234,0.0018903191676953313,0.013515815002282272,-0.0038502870924006505,-0.02331871345029246,-0.0048396738283424945,-0.002126697061486049,-0.001198090493288638,-0.0010000000000000009,0.012,0.0010000000000000009
V3_drop,rf,1,-0.0024999999999999467,-0.0010799494359129413,0.003432546724400569,0.005219538000352658,-0.007350586888841937,-0.0034160559314727057,-0.01893274853801169,-0.004649273378196872,-8.837674619732727e-05,0.004429890316517915,0.0050000000000000044,0.0085,0.0024999999999999467
V3_drop,rf,2,0.0010000000000000009,-0.00015566687757384567,0.004004156452093694,-0.0003808852054311418,-0.009816678134218049,-0.0029787008053582253,0.0010964912280702066,-0.001523609283942129,0.00033480438491650943,0.004615270295342942,0.0005000000000000004,0.0105,0.0010000000000000009
V3_drop,rf,3,-0.0007500000000000284,0.000286031603895065,0.000404484358230664,-0.004493034738141416,-0.007398273736128225,0.003052113987241728,0.016739766081871443,-0.012509458324918232,-0.008387119866023585,-0.006798892919238051,-0.002250000000000002,0.01275,0.0007500000000000284
V3_drop,rf,4,-0.0010000000000000009,0.0008904346473919134,0.005195000132208066,-0.007095750308587556,-0.01602959309494445,-0.006391632771644409,-0.014254385964912242,0.0031260156859951316,0.004661908099986678,0.001693184597236868,-0.005500000000000005,0.009,0.0010000000000000009
V3_drop,hgb,0,-0.0020000000000000018,0.0007108061298902735,-0.0010102663700894098,-0.004133309821900938,-0.019681043115722274,-0.009807688703117073,-0.0754385964912282,-0.006021995714502348,-0.0017321510591066236,-0.00048813537450654535,-0.0005000000000000004,0.0175,0.0020000000000000018
