case,variant,model,seed,n_train,n_owntest,pos_rate_train,fit_seconds,own_acc,own_auc,own_ece,common_acc,common_auc,common_ece,common_posrate_pred,sex_dp_diff,sex_tpr_gap,race_dp_diff,race_tpr_gap
acs,T85,hgb,4,15135,3784,0.16663363065741657,44.95,0.8755285412262156,0.8925979607653671,0.01118479608474214,0.8663333333333333,0.8794586851084694,0.00960799522040431,0.118,0.1193715155307771,0.21744735711216157,0.020291500746640115,0.21234309623430964
acs,T85,logreg,0,15135,3784,0.16663363065741657,0.29,0.8697145877378436,0.8787772644462561,0.01583567279681833,0.87,0.8791955011659125,0.016043585176552657,0.11233333333333333,0.12940180907953125,0.2439092922548015,-0.005070930811348934,0.08106694560669458
acs,T85,logreg,1,15135,3784,0.16663363065741657,0.29,0.8731501057082452,0.8845109762357701,0.010784878528142522,0.8693333333333333,0.8802996460444528,0.010807235779575009,0.113,0.12539822505404483,0.23519883640210243,-0.0031654430064708833,0.08525104602510458
acs,T85,logreg,2,15135,3784,0.16663363065741657,0.26,0.8734143763213531,0.8931998671377237,0.0119660620123349,0.8683333333333333,0.8812326829953249,0.013255702286987591,0.11266666666666666,0.1340667311411992,0.27316452348682685,0.016480525136884014,0.08106694560669458
acs,T85,logreg,3,15135,3784,0.16663363065741657,0.37,0.8755285412262156,0.8760757314974182,0.012358526220474633,0.868,0.8803004133445768,0.009675591676487605,0.113,0.13073159631357378,0.24703315592872965,0.015337232453957184,0.07479079497907948
acs,T85,logreg,4,15135,3784,0.16663363065741657,0.24,0.8757928118393234,0.8848939618121608,0.014345431300140567,0.8693333333333333,0.8813255263103377,0.010075437331700757,0.111,0.12407554898168166,0.24423985983934415,0.014575037332005977,0.07479079497907948
acs,T85,rf,0,15135,3784,0.16663363065741657,4.14,0.8477801268498943,0.8717519199605441,0.05577834441258233,0.845,0.8745648449171355,0.058976400595166,0.030666666666666665,0.05183681306178178,0.18024197547188522,0.03086890243902439,0.14644351464435146
acs,T85,rf,1,15135,3784,0.16663363065741657,3.74,0.8480443974630021,0.871003814757778,0.056750725301098,0.842,0.8752646226302894,0.05957878213559256,0.025666666666666667,0.04319675162134486,0.15543287825195862,0.025914634146341462,0.12133891213389121
acs,T85,rf,2,15135,3784,0.16663363065741657,3.85,0.8501585623678647,0.8770953488138016,0.05710892175528058,0.844,0.8741934716570844,0.05971450262135141,0.029666666666666668,0.04984213221071795,0.17186208720372878,0.03010670731707317,0.14225941422594143
acs,T85,rf,3,15135,3784,0.16663363065741657,5.14,0.8535940803382663,0.8608499159545451,0.04883710069396945,0.8433333333333334,0.8745364548125447,0.058460310795144216,0.027666666666666666,0.04851945613835476,0.16939935869888598,0.027820121951219513,0.13179916317991633
